,VIN,Market_Value_Mean,Market_Value_Std,Count
126,SALPV124XXA412395,8296.65,2134,3
127,1B7KC23W9WJ239691,11806.14,3372,106
128,WBABW53426PZ43040,9439.74,2190,135
129,1ZVBP8CH4A5119689,17675.12,3885,1065
130,3C3CFFFH6FT662595,15164.04,2708,312
131,3D7LX38C86G218092,23482.28,5454,719
132,5UXZV8C59BL418202,13985.27,2640,312
133,WP0AA2A95JS106251,104927.93,11626,218
134,1FAFP42R54F187026,12128.62,3144,297
135,3FMTK4SE0MME02980,63995.0,0,1
136,SCCWC11158HL80284,73126.42,10537,3
137,6G2EP57W89L301482,35769.73,6283,51
138,JN1RZ26A5LX012538,16321.5,3466,12
139,WAUUL78E17A011026,19405.54,2343,8
140,1ZVBP8CU1D5280776,40119.14,6610,249
141,WDDEJ71X38A015949,19034.84,3771,121
142,1G1YY26E775130986,44123.42,6579,282
143,1FMEE5DP7MLA86659,69492.05,7768,2
144,5UXKS4C55F0N09123,28871.78,4191,404
145,WBADN6340YGM65513,6096.63,1295,9
146,1G6KW5RJ5KU141080,83355.94,9051,52
147,JF1GR7E60DG817997,19200.57,3463,691
148,1FA6P8JZ4J5504014,64077.41,7007,475
149,1G1BL52P6TR136245,24143.64,6271,110
150,WP0AA2A82KS260277,67733.31,5338,210
151,WP0AB29902S687581,68186.02,14598,82
152,JA3AN74K7TY005789,18495.0,0,1
153,JF2SJGPC5EH406929,17797.88,3375,452
154,5GRGN23U75H132285,20826.4,4575,555
155,JTEHT05JX32033653,16763.58,3842,61
156,2CNBE1860T6949032,4211.61,1254,7
157,WP0AB29896U785171,32469.22,5317,203
158,ZAMEC38AX50016429,25068.12,5626,13
159,WAUF2AFC0EN122635,31374.04,4896,133
160,JHMAP21467S002023,31531.61,6506,105
161,WAUHFAFC2HN109564,44640.94,8057,84
162,WDBCA25E8LA551932,13200.0,3818,2
163,JTJHY00W284012152,28126.55,4266,99
164,ZARBB32N5N7000108,20855.68,6414,5
165,JM1FD3331R0302030,59993.25,23034,4
166,WBSCL93401LJ80564,28973.43,4708,15
167,JHMBA424XKC047128,13904.62,5493,5
168,WBAGJ0342YDD73717,23230.07,7145,3
169,1FAPP64R1NH140076,7995.0,0,1
170,WBAEC8414K3268188,16238.29,5611,8
171,1G8AJ52F35Z156983,3903.86,1022,96
172,SCBEC9ZAXEC094765,94574.97,13957,197
173,WP0CA29926S757843,46655.61,8749,178
174,WUADU78E48N900089,38638.14,10858,32
175,2BCCZ8128JB523558,10281.61,2704,7
176,WAUXL68E45A080345,12022.93,4286,9
177,WBAEF6320SCC90374,19343.84,5479,15
178,WAUKG74F36N064831,7187.24,1561,31
179,2C3LA63HX6H170289,7916.45,1711,566
180,SADHD2S11K1F62082,58879.71,7525,141
181,WBA8D9G53HNU60293,27402.67,3241,1520
182,ZAR91600006038234,20437.55,6445,2
183,1FTSW2BR3AEA68425,24054.1,5040,1095
184,SALRR2RV4L2415363,66555.59,5399,132
185,SALMF13446A227451,10643.47,2250,59
186,1FA6P8CF7H5312762,34884.31,4194,4834
187,WAUWFAFL0BA030478,12217.74,2324,177
188,WBAEW53473PG22039,5632.8,1348,26
