,VIN,Num_Days,Market_Value_Mean,Market_Value_Std,Count,Count_Over_Days
109,JHMAP21415S004727,90,28972.72,5903,147,1.6333333333333333
110,WBS3R9C57FK333512,145,45802.17,5631,1089,7.510344827586207
111,WBAFR9C52BC271300,406,15022.7,2969,289,0.7118226600985221
112,1G2MB35B46Y117778,686,12098.19,2851,511,0.7448979591836735
113,WP0CD2Y17NSA85072,90,107399.76,12337,638,7.088888888888889
114,2C3CDZC90GH306741,363,57443.8,6655,1184,3.2617079889807163
115,5UXFA13535LB09743,90,6151.13,1376,150,1.6666666666666667
116,1GTEC14V24Z218175,90,8858.28,2315,552,6.133333333333334
117,2G1FP22G9W2134761,129,14096.88,3338,56,0.43410852713178294
118,1G6D65RP6N0460061,287,55463.46,4681,5,0.017421602787456445
119,4USCH3342YLF41936,746,10876.9,2546,49,0.06568364611260054
120,JF1GR8H65EL224596,402,26686.36,4210,190,0.472636815920398
121,WAUC4CF53KA057809,487,58763.85,4529,363,0.7453798767967146
122,SALGS2EF6EA142445,152,42460.32,5938,499,3.2828947368421053
123,WBSDE9340YBZ95796,364,29754.47,7638,28,0.07692307692307693
124,JF1ZCAB14E9604010,423,20003.04,3224,59,0.13947990543735225
125,JT2AE94V3K0063248,90,5995.0,0,1,0.011111111111111112
126,5YJSA1H26EFP62758,90,40868.88,6178,1023,11.366666666666667
127,JHMBB61551C012238,299,24995.05,7071,2,0.006688963210702341
128,WBA5B1C54GG133596,369,27542.04,3395,680,1.8428184281842819
129,SAJWA79C25SG46282,699,8441.61,2334,65,0.09298998569384835
130,WDBEA36E1NB713717,410,33218.38,7913,4,0.00975609756097561
131,JF1GR8H6XAL824850,173,20021.69,3772,67,0.3872832369942196
132,JM1NA3516M0224367,767,9707.44,2687,60,0.07822685788787484
133,5YJ3E1EC6LF586555,94,55806.33,4814,1608,17.106382978723403
134,JTEBU5JRXC5106868,572,23384.74,3922,1500,2.6223776223776225
135,WDDHH7EB4CA597012,230,35655.83,4979,53,0.23043478260869565
136,JTJHT00W733532361,230,16417.92,3991,69,0.3
137,WAUKGBFL1BA006370,90,17823.97,3794,221,2.4555555555555557
138,WP1AD29P28LA74081,286,18028.33,3687,56,0.1958041958041958
139,5YJSA1H17EFP65983,536,40868.88,6178,1023,1.9085820895522387
140,WAUPN94E18N011076,654,18180.22,5446,15,0.022935779816513763
141,SCA1S68405UX07857,490,104971.05,20518,14,0.02857142857142857
142,JT6HJ88J7V0161178,612,20586.6,3883,27,0.04411764705882353
143,WUARL48H46K900657,199,9858.96,2461,14,0.07035175879396985
144,WBSPM9C52BE203792,774,33375.0,6760,466,0.6020671834625323
145,1ZVBP8CU6C5265933,90,36720.07,7140,183,2.033333333333333
146,WBSKG9C56CE798519,165,36309.13,7372,150,0.9090909090909091
150,SALPV124XXA412395,524,8296.65,2134,3,0.0057251908396946565
151,1B7KC23W9WJ239691,644,11806.14,3372,106,0.16459627329192547
152,WBABW53426PZ43040,322,9439.74,2190,135,0.4192546583850932
153,1ZVBP8CH4A5119689,249,17675.12,3885,1065,4.27710843373494
154,3C3CFFFH6FT662595,718,15164.04,2708,312,0.43454038997214484
155,3D7LX38C86G218092,90,23482.28,5454,719,7.988888888888889
156,5UXZV8C59BL418202,406,13985.27,2640,312,0.7684729064039408
157,WP0AA2A95JS106251,90,104927.93,11626,218,2.422222222222222
158,1FAFP42R54F187026,178,12128.62,3144,297,1.6685393258426966
159,3FMTK4SE0MME02980,208,63995.0,0,1,0.004807692307692308
160,SCCWC11158HL80284,739,73126.42,10537,3,0.0040595399188092015
161,6G2EP57W89L301482,370,35769.73,6283,51,0.13783783783783785
162,JN1RZ26A5LX012538,390,16321.5,3466,12,0.03076923076923077
163,WAUUL78E17A011026,525,19405.54,2343,8,0.015238095238095238
164,1ZVBP8CU1D5280776,90,40119.14,6610,249,2.7666666666666666
165,WDDEJ71X38A015949,537,19034.84,3771,121,0.22532588454376165
166,1G1YY26E775130986,264,44123.42,6579,282,1.0681818181818181
167,1FMEE5DP7MLA86659,248,69492.05,7768,2,0.008064516129032258
168,5UXKS4C55F0N09123,410,28871.78,4191,404,0.9853658536585366
169,WBADN6340YGM65513,101,6096.63,1295,9,0.0891089108910891
170,1G6KW5RJ5KU141080,377,83355.94,9051,52,0.13793103448275862
171,JF1GR7E60DG817997,90,19200.57,3463,691,7.677777777777778
172,1FA6P8JZ4J5504014,96,64077.41,7007,475,4.947916666666667
173,1G1BL52P6TR136245,405,24143.64,6271,110,0.2716049382716049
174,WP0AA2A82KS260277,238,67733.31,5338,210,0.8823529411764706
175,WP0AB29902S687581,122,68186.02,14598,82,0.6721311475409836
176,JA3AN74K7TY005789,90,18495.0,0,1,0.011111111111111112
177,JF2SJGPC5EH406929,285,17797.88,3375,452,1.5859649122807018
178,5GRGN23U75H132285,161,20826.4,4575,555,3.4472049689440993
179,JTEHT05JX32033653,488,16763.58,3842,61,0.125
180,2CNBE1860T6949032,375,4211.61,1254,7,0.018666666666666668
181,WP0AB29896U785171,494,32469.22,5317,203,0.4109311740890688
182,ZAMEC38AX50016429,90,25068.12,5626,13,0.14444444444444443
186,WAUF2AFC0EN122635,327,31374.04,4896,133,0.40672782874617736
187,JHMAP21467S002023,474,31531.61,6506,105,0.22151898734177214
188,WAUHFAFC2HN109564,90,44640.94,8057,84,0.9333333333333333
189,WDBCA25E8LA551932,90,13200.0,3818,2,0.022222222222222223
190,JTJHY00W284012152,164,28126.55,4266,99,0.6036585365853658
191,ZARBB32N5N7000108,175,20855.68,6414,5,0.02857142857142857
192,JM1FD3331R0302030,231,59993.25,23034,4,0.017316017316017316
193,WBSCL93401LJ80564,182,28973.43,4708,15,0.08241758241758242
